desempleado,edad,sexo,educacion,area,fexp
1,53,1,11,1,260.0792908180913
1,46,0,0,1,259.2458010247632
1,21,1,1,0,331.3556075078431
1,37,0,0,0,308.1267590712232
1,38,0,15,0,326.91356401442357
0,32,0,18,0,194.63765627920543
1,23,1,19,1,185.86999454922255
0,23,0,18,0,247.53613760410195
0,24,1,6,1,264.8337347365233
1,42,0,1,1,260.9934588196702
1,57,0,13,0,329.28380476982187
0,55,0,10,0,302.4305421323638
0,64,0,13,1,265.19090246200994
1,25,1,9,0,105.09156942757473
0,55,1,1,0,154.08112085041847
0,22,0,14,0,85.15344613483644
0,41,1,0,1,235.40110740355755
0,53,1,14,1,285.55121475200525
1,33,1,5,1,311.6822237113043
1,52,0,2,1,53.37885510768396
0,21,0,18,1,284.48233236443775
0,36,0,0,1,191.4074080669104
1,31,1,14,1,381.1920290675642
0,64,1,15,1,275.365305997285
1,21,1,11,0,305.94274260179634
0,64,1,6,1,344.6047131033021
0,55,1,12,1,319.8132618532015
0,47,0,13,0,363.57446257492376
0,40,1,16,0,252.5951693861373
0,39,0,16,1,389.643435549245
0,39,0,16,1,350.82486248922487
0,35,0,18,0,136.24392907174598
1,41,1,12,0,99.72967305118911
0,61,1,13,0,393.61581067377637
0,48,1,14,1,220.18113075706248
0,54,1,10,0,370.34051666709047
1,25,1,3,1,283.57112315481373
0,38,0,17,0,303.20569768963844
1,45,1,3,1,129.76122672790837
1,29,0,1,1,296.95363994245486
0,23,0,1,1,278.91224029195394
1,40,1,1,1,98.65519084598237
1,43,1,13,1,248.6086539581061
0,36,1,16,1,247.6461407188083
0,31,0,17,0,314.14809133968333
1,56,0,14,1,322.4412539024284
1,21,0,13,0,192.40403796401313
1,32,0,5,1,392.28695997517167
0,41,0,11,1,112.40490112331153
1,31,1,3,1,281.5739572642268
1,42,0,5,1,267.5517431633117
0,38,0,15,1,157.61214813238962
1,18,1,15,1,283.0698745566374
0,47,1,1,0,210.2049641569858
1,29,0,8,0,198.8629257273886
0,58,0,17,1,211.6801708178859
1,45,1,11,0,370.88237130244386
1,63,1,3,1,320.1783794393087
0,51,1,10,0,254.69493350854208
0,42,1,11,1,245.03252887736673
0,54,1,4,0,92.42824936494937
0,56,1,13,1,278.8892829466703
1,27,0,5,1,291.0544140621481
0,21,1,8,0,306.2675716287928
0,61,0,1,1,337.1604465294474
0,19,1,15,1,146.47198470962906
0,33,0,5,0,335.2316028524683
0,22,0,4,0,242.07527574989277
1,22,0,2,0,102.01737709993438
1,54,0,8,0,113.20780710571924
1,36,1,9,1,58.824710960172816
0,32,0,19,1,338.57895565865977
0,46,1,10,1,102.36741982636518
0,35,1,11,1,340.3223908989787
0,41,0,18,1,282.24173393722333
0,64,1,10,1,271.4894448962202
0,34,1,3,1,108.68618164778431
0,24,1,14,0,204.63226446500133
0,25,0,5,0,248.39162139010597
1,38,1,14,0,108.04515522772786
0,28,1,3,1,278.62670291098266
0,60,1,13,0,167.53457420411735
0,50,0,7,1,64.07702767584581
0,61,1,3,1,360.2108148260818
1,57,1,14,1,63.288779907717775
0,63,1,6,0,64.39512664911499
0,41,1,14,0,339.1751467479412
0,40,1,5,0,112.2199693478258
0,39,0,0,0,389.4186138379363
0,44,1,10,1,382.55319991259734
0,30,1,1,0,112.62050288701278
1,20,0,5,0,315.5067975791302
0,58,0,11,1,300.7837847471131
0,35,1,12,1,52.708860107718564
0,19,1,17,0,288.3219656493542
0,43,1,8,0,332.4227555220361
0,20,1,19,1,199.2976894227574
1,34,1,18,1,192.76762321709708
0,20,0,11,1,55.12124686768141
0,42,0,4,1,118.5006325491097
0,33,0,8,0,353.12312147627426
1,47,0,11,1,100.49733984795495
0,24,1,13,0,124.20065225268485
1,46,1,9,1,317.70699288703935
0,60,0,0,0,219.6685242138938
1,40,1,1,1,263.4979685099011
1,38,0,7,1,212.6207451222032
0,43,1,6,1,354.6817802206282
0,51,1,12,1,68.07366174029517
0,64,0,11,1,353.5784816906488
0,25,0,2,0,212.19199347861988
0,26,1,13,1,178.232941191441
0,34,1,12,0,140.93809325141046
1,47,0,7,1,386.9393088958649
0,18,1,19,1,284.89033733826847
0,62,1,6,0,297.6211068638347
1,58,1,4,1,380.48858747915097
1,57,0,2,0,329.07937553616256
0,34,0,4,1,238.56103724123136
0,56,1,17,0,383.85647912527475
1,63,0,8,1,92.76151113867627
0,57,0,16,1,159.97004199416588
0,57,0,15,0,382.2792553079161
1,53,0,9,0,381.85888244499165
0,43,1,8,0,111.17546018731525
1,49,1,13,1,216.63821205200216
0,29,1,0,1,399.2189543337096
0,26,0,16,1,139.37716275910307
0,29,1,17,0,306.1160345359474
1,30,0,4,1,303.8323141976625
1,33,1,11,1,85.46364015197655
1,40,1,0,0,197.44951594021273
0,55,0,1,1,394.1173843809675
0,20,1,13,0,87.72873278998837
0,56,1,3,1,251.99785254795003
0,60,1,6,0,157.70554604877225
1,19,0,17,1,167.24942734005404
1,52,1,17,1,51.15230276576108
1,55,0,17,1,258.4044864508553
0,53,0,15,1,183.67486633402072
0,60,0,18,1,167.840965842417
0,55,0,18,1,353.34837130040967
1,62,0,11,0,63.44233711949616
0,62,1,11,1,112.04779982343467
0,49,0,7,1,361.79164765291966
0,33,0,11,1,175.5416971677796
0,39,1,4,1,333.86444531880994
1,21,0,12,1,55.400577076335985
0,27,0,3,1,351.1091699393626
1,47,0,9,1,277.95219043213666
1,48,0,6,1,378.82905071723167
0,53,1,9,1,176.23710538610817
1,58,1,0,1,274.71546291579244
1,42,0,15,0,321.9929836638996
1,48,0,2,1,185.31058460186267
1,57,1,15,1,372.9820833166112
1,40,0,8,0,83.74242331672191
0,35,0,1,0,169.07174041345218
1,22,1,18,1,339.58721108490226
0,35,0,15,1,125.62194732007121
1,36,0,17,1,282.7828708162373
0,37,1,1,0,119.9452246817645
1,36,0,18,0,368.06073559152736
0,25,1,8,0,379.78307135858176
1,21,0,1,0,77.1423138051563
1,52,1,4,1,362.512470928015
1,30,0,9,0,397.58248558098074
0,48,1,13,1,198.7514569993958
0,38,0,7,1,142.9782878667964
1,23,0,15,0,287.8506177700133
1,27,1,1,0,149.9193428891877
1,52,0,2,0,53.975464219892345
0,23,0,16,1,115.38099329191364
0,43,1,3,1,89.16367167690224
1,32,0,6,1,189.50835285030598
1,46,0,7,1,360.05544293405984
1,28,1,8,0,133.7244619042914
1,29,1,11,1,109.40879740874684
0,51,0,15,0,286.76475066967635
0,27,0,10,1,110.33852928859514
1,61,0,12,0,274.12076312862337
1,38,1,8,1,310.95132732603264
1,36,0,19,1,387.6644522170419
1,48,0,1,0,104.28109923559013
1,21,0,3,1,221.71358759788833
0,64,0,13,1,277.9477492604187
0,47,1,18,1,358.7855033370421
0,45,1,15,1,220.46067914122668
0,35,0,11,1,109.52943475850343
1,25,0,11,1,112.59602488476087
1,43,0,18,1,313.41529271196157
1,64,0,12,1,310.42611278949914
0,48,0,3,1,232.1729644506432
1,56,1,5,1,91.58538876096166
0,39,1,7,1,221.48136379085918
1,47,0,11,1,237.54621922419324
1,24,1,15,0,220.2441838513446
1,24,0,2,0,302.0801236359923
0,29,0,15,1,167.0302918980551
0,51,0,6,1,142.01032776665485
0,62,1,16,1,59.24313597606057
1,52,0,19,0,238.32266763943665
0,57,0,2,0,363.5295684379316
0,50,0,16,1,367.0887029503335
0,41,0,0,1,97.74201333487164
1,32,0,16,1,338.39919048224766
1,39,0,3,0,227.58120916229075
0,44,1,1,1,150.54087935947706
0,32,0,13,0,306.5848099656144
0,38,0,17,1,99.07100837900401
0,19,0,2,0,365.19556058638113
0,24,1,12,1,270.2086250807467
0,43,1,5,1,250.55175085973178
0,63,1,19,0,314.85634755042713
1,50,1,5,1,79.27954704265775
1,50,1,8,1,378.8408955340777
0,49,1,18,1,326.2986590233358
0,59,0,17,1,385.09712530786913
0,60,1,18,0,223.60301706369373
0,33,1,15,1,397.7501117381605
0,41,0,11,0,294.5589868672989
1,40,1,19,0,88.2770318138715
0,64,0,19,0,309.2035651373017
0,48,1,19,1,381.8594073212994
1,64,0,5,1,359.05443440884875
1,57,1,8,1,121.58410927170095
1,25,1,7,0,327.29771914964414
0,42,0,19,0,390.13350098106343
0,59,1,9,1,251.56691547190817
1,54,1,6,1,181.98450862622403
0,49,0,12,0,127.15527605272835
0,34,0,14,1,259.5901134499961
1,41,0,6,0,134.34150430068922
0,40,0,13,1,177.46039841470485
0,50,0,12,1,357.3979406602291
1,21,0,12,1,191.98248944104566
0,30,0,9,0,119.0967643421219
1,25,0,10,1,381.86808067690833
1,27,0,3,1,327.9349474166655
0,41,1,1,0,66.45462403961447
0,49,1,8,1,222.51002666140906
1,57,0,12,0,114.0404651016515
0,57,1,0,1,287.8328554641381
1,18,0,7,1,142.9201340768922
0,42,0,9,0,148.75156504978554
1,30,0,12,0,378.0742809117781
0,47,0,15,1,98.72328219286655
1,37,0,15,1,209.07911401532078
0,49,1,10,0,296.6788191905333
0,22,0,12,1,285.0138522700604
1,23,0,15,1,226.40477126420123
0,63,1,12,0,246.29576989559413
0,25,0,0,1,392.9418127027816
0,58,1,3,1,136.88617583870598
0,27,0,2,1,75.71048411346874
1,40,0,14,0,210.25029739120956
0,32,1,3,1,132.44653598152615
0,51,1,13,1,103.35092515229334
1,56,0,18,1,372.3993010095386
0,43,0,18,1,296.5188122774299
0,58,1,3,0,127.612660404617
0,35,1,9,0,212.8126812212543
0,62,1,5,0,227.68247700420838
0,50,1,9,0,52.197514415978766
1,37,0,6,1,213.21624162777704
1,51,0,16,1,315.1415955840663
0,57,1,6,1,153.7670421776324
0,58,0,2,1,278.37437105221966
0,45,1,4,1,83.61115220113152
0,31,1,11,1,220.14248490027305
0,24,1,12,1,88.38208569998498
0,33,1,15,1,105.95636922558606
1,46,0,2,0,114.57617786858602
1,36,0,9,1,320.1797152454984
1,48,0,13,1,287.2289072400605
1,19,0,4,0,307.2102802757013
1,58,1,12,1,136.92295031290172
0,62,1,5,1,343.79317113328716
0,36,1,15,1,316.6167386510513
0,52,1,16,1,333.44570145150266
0,23,0,4,1,272.81902014758066
0,64,1,14,0,159.96724949639156
1,37,0,11,1,174.52052090683452
0,45,0,11,1,132.84333675152718
1,44,1,13,1,137.6027805878296
0,38,1,1,1,101.58973749837259
0,41,0,2,1,325.67516915806556
1,38,0,17,1,254.59268448481993
1,35,0,4,0,152.76219648827495
0,18,1,3,1,340.74783060095757
0,62,0,7,0,225.26138162050646
1,22,1,0,1,79.37286654535023
1,28,1,9,1,358.1969084837459
0,36,0,13,1,256.4031086901814
0,55,0,5,1,304.04152765940853
0,47,0,6,1,331.4098146994779
1,27,0,19,1,373.6099060223053
1,23,1,5,1,111.03831375398015
0,55,1,12,1,345.4372524785058
0,53,0,13,1,147.28734142254973
0,33,1,14,1,159.62173593526921
0,58,0,10,1,382.05648224104164
0,60,0,2,0,318.7192225482814
1,25,1,0,1,60.41194860626139
1,55,0,2,1,81.10847338024054
0,64,0,13,1,225.12380612567313
1,25,1,1,1,311.36552788268517
0,45,1,1,1,156.59143331506613
0,51,0,19,1,103.78469768305129
0,54,0,10,0,265.4263772109974
0,61,1,3,1,78.77975963940968
0,45,1,17,1,302.4626747200155
1,20,0,16,0,156.88163037051186
0,21,1,6,1,330.5520127622863
1,24,0,1,0,66.30999895220046
0,59,1,15,1,80.72565060748136
1,21,1,17,1,289.5488142288658
0,26,1,12,0,357.3541680870501
1,42,1,5,1,126.69742155386461
1,21,1,5,1,288.5876312053165
1,29,1,0,1,213.22501568594478
1,23,0,7,1,286.50985676240055
0,62,1,1,1,360.0126783780177
0,46,1,8,0,263.59059264621294
0,38,0,18,1,378.2463952235476
1,59,1,7,0,288.59406030132425
0,33,0,15,1,107.90957099750385
1,27,0,17,1,58.664381725792744
1,23,0,19,1,390.59315446698264
1,51,0,11,1,337.55531740699877
1,45,1,9,1,254.37198013229715
1,63,0,6,1,249.11570199369396
0,56,0,4,0,327.81994399469886
0,33,0,2,1,169.73209098954726
0,60,1,18,0,244.90291928114206
1,26,1,4,1,291.121757471402
1,21,0,2,0,280.72286486255683
0,42,1,18,1,182.84370067237086
1,26,0,11,1,168.46740916575544
1,59,0,6,0,161.24887946594384
1,42,1,19,1,240.83138069970875
0,47,0,5,0,108.63353501476476
1,46,1,16,1,273.18839979195104
0,49,1,5,0,59.355899226946676
0,61,1,18,0,173.268176945993
0,23,1,0,0,71.08621730202236
1,60,0,16,1,115.18561058169898
1,20,0,17,1,257.1528907872465
0,36,1,19,0,223.1183306615717
0,20,0,15,0,365.94682613367587
1,42,1,6,0,76.61134244329587
0,32,0,19,1,114.2683487046609
0,32,1,14,0,89.05769008637972
1,64,0,6,0,200.99250298333703
1,32,1,14,0,228.40959183888543
0,45,1,12,0,230.8046732052827
1,22,1,5,1,311.4936873519931
1,39,1,3,1,270.21013768201874
0,56,1,17,1,365.9071087222968
0,60,1,17,1,257.93972855934135
1,48,0,14,1,390.80296236235546
1,42,1,7,1,224.0594022450311
0,33,0,19,0,278.81722370941645
1,19,1,14,1,211.8798946484826
0,47,0,4,1,352.0247437461618
0,64,1,0,0,167.85398250328984
0,55,0,7,1,110.51916975417441
0,41,1,2,0,316.1799439012193
1,20,0,2,1,232.328308455396
1,34,0,16,1,292.1607503969615
0,43,1,12,0,362.18244866973816
1,53,1,8,0,221.86270382673902
0,48,1,12,1,385.9034232433751
1,59,0,4,0,256.25014311778875
0,26,1,18,1,155.84132040757308
0,63,1,10,1,88.59183601083234
0,44,1,7,1,305.99605161019576
1,41,1,11,1,109.94189988419727
1,19,0,11,0,197.2636168548245
1,43,1,8,1,78.98893516385641
1,24,1,6,1,93.72306282562971
0,51,1,14,1,331.0915941815555
1,46,0,5,1,95.82894174328914
0,34,0,11,0,168.90829275059207
0,49,0,14,1,140.23146230562787
1,59,0,19,0,303.6946640091984
0,29,0,17,0,152.054654351039
0,40,1,8,0,315.63789364720157
0,33,0,11,0,312.9922856654965
0,49,0,18,0,78.60153511593236
0,45,1,18,0,184.32427956561398
1,37,1,18,1,358.8344570451313
1,23,0,1,1,202.53753268484977
1,19,1,18,1,64.00848690692438
1,31,0,4,0,298.60680612291173
1,41,1,1,0,378.66566867802004
0,46,1,4,1,128.49286359524234
1,24,1,4,1,305.7186749686298
1,23,1,15,1,368.0067641536072
1,21,0,10,1,358.4807653556835
1,59,1,17,0,368.49958837983786
1,30,1,3,1,320.9705761050161
0,44,0,3,0,303.7112271753211
1,50,0,8,0,389.320467067296
1,41,1,4,1,344.2554221564375
0,28,1,13,0,241.35965101943708
0,53,1,8,0,180.90192183544858
1,58,0,11,1,72.45210052038482
0,51,1,5,1,149.58971795690329
1,18,1,6,0,298.7160527886306
1,49,1,18,1,292.36222933809404
0,21,1,17,1,101.05289366145067
1,42,0,13,1,224.73537516633363
1,56,0,8,1,142.7686247339774
0,47,0,12,0,100.70099552566688
0,49,1,11,1,87.96732639309292
1,42,1,9,1,333.79411307417257
1,27,1,6,0,335.9741479659056
1,49,0,14,1,262.24368628424907
0,31,0,4,0,213.3685145115893
0,53,1,10,1,118.24718095471522
0,62,0,4,1,233.18184655702254
0,20,1,9,0,92.44149750391068
0,35,0,16,0,112.81612651446522
0,40,0,14,1,357.9353027366239
1,48,1,8,1,97.92874558286903
0,54,1,14,1,258.958020080147
0,40,1,16,1,247.72107327886135
0,51,0,16,1,349.5338476909138
0,58,0,19,1,325.07531274396445
0,56,0,16,0,182.3028145528828
1,46,0,8,0,126.0021322673664
0,22,1,19,0,290.9093879744907
1,62,0,4,1,275.02700382113534
0,55,0,1,1,155.13096124348652
1,18,1,10,0,355.445052748531
1,30,0,18,1,215.6688248868526
0,44,0,5,0,293.2306994269914
1,20,1,0,1,221.93329475062026
0,25,1,12,0,372.543852437532
0,55,1,11,1,164.50480669715785
0,62,0,12,1,273.74011989339033
1,30,0,14,1,304.32587787866464
0,52,1,7,0,123.6715202719408
0,21,1,10,0,399.8730345208259
0,50,1,19,0,335.3302370179678
0,45,1,11,0,190.54929765134048
0,61,1,5,0,255.70291172744842
1,25,0,2,1,260.81043623541376
0,60,1,9,1,374.2026785243021
1,20,1,2,1,348.7661760243584
1,27,1,8,1,366.8831753958208
0,23,0,17,1,140.09238315251392
0,44,0,19,1,314.00820738514193
0,20,1,16,1,298.15858777650635
1,40,0,1,0,194.46500666359287
0,45,0,19,0,169.35016546218168
0,64,1,1,1,329.48880173346345
0,32,1,19,1,322.6406401258585
1,28,0,13,1,116.18200259950456
1,21,0,1,1,189.41388880928503
1,48,0,6,1,119.06537528318842
1,54,1,18,1,67.39021985596777
0,59,0,4,1,202.6674367741418
0,36,1,14,1,141.6644179609282
1,55,1,11,1,392.7346186163892
1,63,0,8,1,383.53681559642973
1,36,0,16,1,368.4438339201629
1,20,1,11,1,284.05197982832
0,51,0,16,1,233.34544258553805
0,38,1,18,0,344.7498661987008
1,27,0,1,0,188.95863981508833
0,41,0,13,1,204.38677057999575
1,58,1,10,1,203.87825279258968
0,31,1,4,1,275.5418841752639
1,56,0,8,1,390.7204562938703
0,49,1,9,1,384.9193673102595
1,34,1,2,1,75.80495451980883
1,56,0,10,0,170.33185497156592
1,41,1,0,1,361.9968820053841
1,26,0,15,0,375.575577474818
1,32,0,18,1,286.40846442975004
0,37,1,16,0,294.81553079899356
1,44,0,12,0,188.09255124094673
0,59,1,18,1,87.79098557864654
0,38,0,12,0,77.49030498921874
0,32,1,16,1,193.7145609454106
1,60,1,7,0,54.022919377633166
1,62,0,8,0,95.43432560839945
1,24,1,10,1,131.72062409014615
1,47,0,17,1,371.30726133683515
0,60,0,13,1,111.32322826965975
1,40,0,5,1,65.74196291630547
1,21,1,11,0,203.51430940169138
0,26,1,5,1,367.4494787392251
0,55,0,13,1,67.7574379979886
1,24,0,18,1,244.46429356810089
0,57,1,9,1,389.1555984362935
0,23,1,6,0,52.53027952373536
0,58,1,4,1,324.5692412048422
1,42,0,9,0,198.97017852693097
0,30,0,11,1,316.08379267215264
1,24,0,10,1,134.42870680720384
0,23,0,3,1,64.41016447369734
0,36,1,13,1,331.81850637465647
1,26,1,9,0,138.68652010503706
1,61,0,12,1,348.5680935762717
0,63,0,18,1,71.64576659243761
0,46,0,11,0,328.83155055621154
0,39,1,13,0,265.2109892482749
0,60,1,17,1,123.65563018654761
0,62,1,12,1,192.08663629199162
1,57,0,7,0,247.19637527540434
1,56,1,15,1,132.48408554224082
0,59,1,5,1,292.61356557242874
0,52,1,15,1,250.03753139485113
0,34,1,18,1,65.9810607027465
0,47,0,16,0,342.7458633472361
0,34,0,13,0,164.47894952666815
0,55,1,14,1,294.5389735792468
0,57,1,6,1,196.79895940734812
1,59,1,17,1,315.9720699410947
0,58,0,19,0,155.92549504403507
1,26,1,13,1,51.32088925535243
0,26,0,8,0,376.8261574960717
1,40,0,17,1,178.73095369793253
0,63,1,2,0,55.12037455806341
0,60,0,19,1,325.70866157179273
0,56,0,15,1,58.7936752728729
0,56,1,8,0,261.5892282010948
0,63,0,11,0,67.48796385045137
0,34,0,2,0,85.48716678958428
0,35,0,8,0,320.4927687975994
1,40,1,4,1,123.97530070463259
0,33,0,13,0,287.6120343562726
1,36,0,11,1,244.30371274135123
1,55,0,12,1,280.5863531017461
0,20,0,1,0,121.70788231385147
0,20,0,13,1,292.36237328998243
1,49,1,4,0,279.0417406928178
0,32,1,13,0,309.43554990441464
1,24,0,0,1,181.80144738781354
1,58,0,1,1,160.2422132971845
0,23,1,8,1,371.0358814591257
1,52,1,3,1,322.57867298625956
0,49,0,2,0,210.27639930905892
0,22,0,1,0,303.3639512800394
1,24,1,17,1,262.93359862711657
0,38,1,12,1,362.1872202215598
0,36,1,3,1,237.69456006337685
1,20,0,11,0,131.67854823062947
1,41,1,7,0,339.88692692443857
1,41,0,8,0,145.66873563258503
0,63,1,3,1,60.82123522426658
1,55,0,19,1,360.426605335293
1,18,1,4,1,253.68561311692068
0,24,0,19,1,67.63394364709698
0,57,0,17,1,120.57566070171593
0,47,0,16,0,262.9161766852112
1,51,1,2,1,58.32082199647655
0,36,1,1,1,93.8748423164791
1,18,0,0,0,347.08859931381517
1,19,1,12,1,340.79798698911355
0,28,1,6,0,98.0722798122271
0,40,0,18,1,371.5789985448601
0,20,1,10,0,144.9674846418537
1,56,0,19,1,90.86241244924571
1,30,0,10,0,209.62162025749333
0,51,1,16,1,118.79727330799413
0,33,0,12,1,102.004561563781
0,60,1,5,0,335.8169125791651
0,25,1,4,1,290.36146510550486
0,19,0,13,0,348.8950178477831
1,63,0,5,1,190.67610739980867
1,22,0,18,1,388.3713990944009
1,60,1,11,1,308.6584921611331
0,57,0,3,0,86.77638556477604
1,19,1,17,1,220.65979371047953
1,23,1,10,1,81.05913850851152
1,21,1,19,0,147.20888407155292
0,46,0,9,1,161.75174978176707
1,20,1,19,0,283.01140515060877
0,45,0,0,0,263.01106821637575
0,32,0,11,0,260.81696293389064
0,30,1,14,1,282.9019976496056
1,22,0,4,1,169.40169338255734
1,41,1,2,0,125.05532188786768
0,31,0,6,0,160.76805002800978
1,36,1,15,0,338.4007888922112
1,54,0,0,1,387.14570118231853
0,22,1,12,1,346.2094170065579
0,43,0,12,1,359.02799500138593
0,40,1,8,1,364.1102102367349
0,58,0,12,0,136.55924730667357
1,25,0,7,0,155.62531640887175
0,60,0,9,1,240.80277398280435
0,20,1,0,1,295.12252042538114
0,37,0,8,0,168.49692273213478
1,37,0,2,1,70.8938978077729
1,22,1,17,1,368.94682614893986
0,61,0,14,1,94.17270358856602
1,43,1,1,1,60.95345100079763
1,34,1,16,0,338.8518099552942
0,19,0,5,1,86.19048854626762
1,20,0,12,1,285.9874171753845
1,27,1,17,1,244.77266174905787
0,55,1,2,0,174.89482793408268
1,19,0,11,0,389.3973705231204
1,42,0,18,1,65.42520343489858
0,38,1,7,0,180.15214191490102
1,35,0,10,1,112.53297196589807
0,39,0,11,1,126.28600579427727
0,51,0,14,0,76.36393899699925
0,59,1,13,1,183.4299593949564
0,62,1,11,1,79.84884019416623
1,54,0,17,1,269.92031692519276
0,56,0,11,1,86.13350429815158
1,47,0,6,0,224.35530662825767
1,50,1,2,1,132.647109202246
0,23,1,12,1,261.57881867484105
0,30,0,12,0,297.7474625104759
1,37,1,6,0,341.6061214540073
0,51,1,16,0,388.9907836870302
1,30,1,10,1,65.45383986402787
1,59,0,12,1,338.278896599121
0,39,0,11,1,318.0116050006193
1,38,0,16,1,207.7075148857566
0,31,1,13,1,399.44651060174897
0,53,0,9,0,159.44319747191588
0,22,1,9,0,331.4926243300957
0,37,1,11,0,129.78618935650218
0,59,0,0,1,372.39815484079475
0,57,0,5,1,149.43664902181115
1,29,1,6,1,56.74643096517979
1,64,1,16,0,85.2887431063198
0,57,0,6,0,81.62565521465622
0,46,0,18,1,121.05792405575086
0,52,1,4,1,190.39086456989799
1,55,0,12,1,140.21289371100977
1,29,0,7,0,320.46770604878395
1,64,1,14,1,149.1153148564544
1,29,0,16,0,75.48730010492082
0,37,1,0,0,351.02092225252073
0,43,0,10,0,284.5479243335799
1,50,1,0,0,339.4286052433426
0,58,0,1,1,336.86486731846287
1,55,0,2,1,305.48157402607444
0,45,1,16,1,141.18613331540286
0,48,1,8,0,259.4348302133792
1,46,1,1,0,201.95530829893443
0,40,1,7,0,350.1411165012088
1,28,0,18,1,213.84853601157366
0,35,1,11,0,202.4724931995104
0,23,1,9,1,150.92488976607603
0,39,0,9,0,248.45373172690086
1,22,0,9,1,326.05844828146735
1,23,1,5,1,198.57710456701972
1,47,0,5,1,368.9509759714744
0,59,1,10,1,118.26600056604578
1,56,0,3,0,142.67594485054784
1,40,0,4,1,69.4412074200105
0,63,0,13,1,273.20189188928555
1,64,0,4,1,182.81038731654792
1,28,1,9,1,79.4059200019121
0,19,0,13,1,358.5650337241053
0,31,1,10,1,207.01157993263107
1,26,1,9,1,289.2998773202049
1,44,0,9,1,144.38933855066597
1,34,1,11,1,280.3590511356323
0,18,1,5,1,280.51041756871865
1,35,1,11,1,128.67773768630954
0,38,0,12,1,271.48959091869597
0,20,0,10,1,279.3503627143598
0,38,1,4,0,118.75824142431041
0,56,1,12,0,190.09392619551323
0,48,1,1,1,158.60429412703397
1,44,0,11,0,262.5627503695124
1,42,1,1,0,225.00268340350928
0,39,1,3,1,116.74920830020599
0,56,0,19,1,173.78389311960052
0,28,1,7,1,84.8805666296598
0,50,1,16,0,73.60669883017293
1,37,1,3,0,342.6918343948382
0,31,1,16,1,84.1649222202435
1,23,1,19,1,259.12452021330273
1,24,0,3,1,258.5724617179725
1,45,0,10,0,120.06084067468402
0,46,1,1,1,111.06028146267408
1,24,1,8,1,377.2263839931242
1,59,0,15,1,147.28359254285073
0,51,0,18,1,71.26253358299394
0,25,0,3,0,161.5504026290457
1,41,1,7,1,153.72187096021662
1,44,0,11,1,235.54772630937705
0,32,1,19,0,281.3038566653584
